# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
0,	14.0000
1,	34.5850
2,	55.1190
3,	75.3710
4,	95.9220
5,	116.4570
6,	137.2420
7,	158.0930
8,	179.9120
9,	200.5800
_ch0_neuron0,	0.8791
_ch0_neuron0,	3.0194
_ch0_neuron0,	3.4898
_ch0_neuron0,	5.9848
_ch0_neuron0,	6.9807
_ch0_neuron0,	6.9932
_ch0_neuron0,	7.0110
_ch0_neuron0,	7.0502
_ch0_neuron0,	8.0477
_ch0_neuron0,	12.7611
_ch0_neuron0,	13.9113
_ch0_neuron0,	14.0496
_ch0_neuron0,	14.0831
_ch0_neuron0,	14.1102
_ch0_neuron0,	14.1305
_ch0_neuron0,	14.1661
_ch0_neuron0,	14.1832
_ch0_neuron0,	14.2842
_ch0_neuron0,	14.4987
_ch0_neuron0,	14.5070
_ch0_neuron0,	14.5144
_ch0_neuron0,	14.5168
_ch0_neuron0,	14.5179
_ch0_neuron0,	14.5367
_ch0_neuron0,	14.5398
_ch0_neuron0,	14.5453
_ch0_neuron0,	14.5498
_ch0_neuron0,	14.5522
_ch0_neuron0,	14.5543
_ch0_neuron0,	14.5649
_ch0_neuron0,	14.5744
_ch0_neuron0,	14.5784
_ch0_neuron0,	14.5799
_ch0_neuron0,	14.5838
_ch0_neuron0,	14.5940
_ch0_neuron0,	14.6078
_ch0_neuron0,	14.6102
_ch0_neuron0,	14.6137
_ch0_neuron0,	14.6235
_ch0_neuron0,	14.6263
_ch0_neuron0,	14.6311
_ch0_neuron0,	14.6393
_ch0_neuron0,	14.6407
_ch0_neuron0,	14.6468
_ch0_neuron0,	14.6555
_ch0_neuron0,	14.6599
_ch0_neuron0,	14.6671
_ch0_neuron0,	14.6845
_ch0_neuron0,	14.7360
_ch0_neuron0,	14.7771
_ch0_neuron0,	14.7923
_ch0_neuron0,	14.8460
_ch0_neuron0,	14.8822
_ch0_neuron0,	14.9357
_ch0_neuron0,	14.9784
_ch0_neuron0,	15.0072
_ch0_neuron0,	15.0187
_ch0_neuron0,	15.1032
_ch0_neuron0,	15.1234
_ch0_neuron0,	15.1393
_ch0_neuron0,	15.1502
_ch0_neuron0,	15.1724
_ch0_neuron0,	15.1736
_ch0_neuron0,	15.1847
_ch0_neuron0,	15.2173
_ch0_neuron0,	15.2184
_ch0_neuron0,	15.2344
_ch0_neuron0,	15.2371
_ch0_neuron0,	15.2697
_ch0_neuron0,	15.2976
_ch0_neuron0,	15.3030
_ch0_neuron0,	15.3146
_ch0_neuron0,	15.3346
_ch0_neuron0,	15.3371
_ch0_neuron0,	15.3577
_ch0_neuron0,	15.3642
_ch0_neuron0,	15.3982
_ch0_neuron0,	15.4350
_ch0_neuron0,	15.4809
_ch0_neuron0,	15.5487
_ch0_neuron0,	15.5706
_ch0_neuron0,	15.5821
_ch0_neuron0,	15.5994
_ch0_neuron0,	15.6028
_ch0_neuron0,	15.6201
_ch0_neuron0,	15.6326
_ch0_neuron0,	15.6374
_ch0_neuron0,	15.6659
_ch0_neuron0,	15.6741
_ch0_neuron0,	15.7305
_ch0_neuron0,	15.7818
_ch0_neuron0,	15.7978
_ch0_neuron0,	15.8005
_ch0_neuron0,	15.8187
_ch0_neuron0,	15.8710
_ch0_neuron0,	15.9414
_ch0_neuron0,	15.9519
_ch0_neuron0,	15.9838
_ch0_neuron0,	16.0005
_ch0_neuron0,	16.0295
_ch0_neuron0,	16.0711
_ch0_neuron0,	16.1204
_ch0_neuron0,	16.1698
_ch0_neuron0,	16.1912
_ch0_neuron0,	16.2332
_ch0_neuron0,	16.2606
