# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	5.5660
2,	25.9190
3,	45.5880
4,	70.5400
5,	90.5600
_ch0_neuron0,	0.2098
_ch0_neuron0,	0.4955
_ch0_neuron0,	0.7050
_ch0_neuron0,	0.8453
_ch0_neuron0,	1.0305
_ch0_neuron0,	1.3675
_ch0_neuron0,	1.6112
_ch0_neuron0,	1.7156
_ch0_neuron0,	1.8062
_ch0_neuron0,	2.4846
_ch0_neuron0,	2.6955
_ch0_neuron0,	2.9312
_ch0_neuron0,	3.8404
_ch0_neuron0,	3.9031
_ch0_neuron0,	3.9680
_ch0_neuron0,	4.0486
_ch0_neuron0,	4.2023
_ch0_neuron0,	4.5825
_ch0_neuron0,	5.1327
_ch0_neuron0,	5.2428
_ch0_neuron0,	5.2476
_ch0_neuron0,	5.2566
_ch0_neuron0,	5.5171
_ch0_neuron0,	5.6459
_ch0_neuron0,	5.6507
_ch0_neuron0,	5.6566
_ch0_neuron0,	5.6625
_ch0_neuron0,	5.6649
_ch0_neuron0,	5.6697
_ch0_neuron0,	5.6749
_ch0_neuron0,	5.6863
_ch0_neuron0,	5.6978
_ch0_neuron0,	5.7148
_ch0_neuron0,	5.7168
_ch0_neuron0,	5.7201
_ch0_neuron0,	5.7256
_ch0_neuron0,	5.7377
_ch0_neuron0,	5.7423
_ch0_neuron0,	5.7469
_ch0_neuron0,	5.7491
_ch0_neuron0,	5.7519
_ch0_neuron0,	5.7535
_ch0_neuron0,	5.7617
_ch0_neuron0,	5.7703
_ch0_neuron0,	5.7744
_ch0_neuron0,	5.7852
_ch0_neuron0,	5.7870
_ch0_neuron0,	5.8005
_ch0_neuron0,	5.8099
_ch0_neuron0,	5.8144
_ch0_neuron0,	5.8164
_ch0_neuron0,	5.8207
_ch0_neuron0,	5.8256
_ch0_neuron0,	5.8309
_ch0_neuron0,	5.8336
_ch0_neuron0,	5.8360
_ch0_neuron0,	5.8377
_ch0_neuron0,	5.8410
_ch0_neuron0,	5.8508
_ch0_neuron0,	5.8533
_ch0_neuron0,	5.8697
_ch0_neuron0,	5.8711
_ch0_neuron0,	5.8840
_ch0_neuron0,	5.8884
_ch0_neuron0,	5.8901
_ch0_neuron0,	5.8981
_ch0_neuron0,	5.8995
_ch0_neuron0,	5.9041
_ch0_neuron0,	5.9073
_ch0_neuron0,	5.9215
_ch0_neuron0,	5.9355
_ch0_neuron0,	5.9406
_ch0_neuron0,	5.9455
_ch0_neuron0,	5.9502
_ch0_neuron0,	5.9549
_ch0_neuron0,	5.9598
_ch0_neuron0,	5.9701
_ch0_neuron0,	5.9749
_ch0_neuron0,	5.9802
_ch0_neuron0,	5.9919
_ch0_neuron0,	6.0024
_ch0_neuron0,	6.0130
_ch0_neuron0,	6.0255
_ch0_neuron0,	6.0315
_ch0_neuron0,	6.0515
_ch0_neuron0,	6.0694
_ch0_neuron0,	6.0766
_ch0_neuron0,	6.0809
_ch0_neuron0,	6.0861
_ch0_neuron0,	6.0924
_ch0_neuron0,	6.1020
_ch0_neuron0,	6.1058
_ch0_neuron0,	6.1120
_ch0_neuron0,	6.1266
_ch0_neuron0,	6.1332
_ch0_neuron0,	6.1406
_ch0_neuron0,	6.1485
_ch0_neuron0,	6.1627
_ch0_neuron0,	6.1705
_ch0_neuron0,	6.1852
_ch0_neuron0,	6.1911
_ch0_neuron0,	6.1994
_ch0_neuron0,	6.2114
_ch0_neuron0,	6.2355
_ch0_neuron0,	6.2538
_ch0_neuron0,	6.2605
_ch0_neuron0,	6.2680
_ch0_neuron0,	6.2703
_ch0_neuron0,	6.2827
_ch0_neuron0,	6.2912
_ch0_neuron0,	6.3043
_ch0_neuron0,	6.3105
_ch0_neuron0,	6.3151
_ch0_neuron0,	6.3165
_ch0_neuron0,	6.3219
_ch0_neuron0,	6.3358
_ch0_neuron0,	6.3408
_ch0_neuron0,	6.3466
_ch0_neuron0,	6.3541
_ch0_neuron0,	6.3714
_ch0_neuron0,	6.3777
_ch0_neuron0,	6.3830
_ch0_neuron0,	6.4012
_ch0_neuron0,	6.4037
_ch0_neuron0,	6.4145
_ch0_neuron0,	6.4245
_ch0_neuron0,	6.4299
_ch0_neuron0,	6.4412
_ch0_neuron0,	6.4461
_ch0_neuron0,	6.4519
_ch0_neuron0,	6.4567
_ch0_neuron0,	6.4693
_ch0_neuron0,	6.4741
_ch0_neuron0,	6.4813
_ch0_neuron0,	6.4869
_ch0_neuron0,	6.4881
_ch0_neuron0,	6.5033
_ch0_neuron0,	6.5046
_ch0_neuron0,	6.5092
_ch0_neuron0,	6.5171
_ch0_neuron0,	6.5232
_ch0_neuron0,	6.5365
_ch0_neuron0,	6.5448
_ch0_neuron0,	6.5507
_ch0_neuron0,	6.5641
_ch0_neuron0,	6.5705
_ch0_neuron0,	6.5987
_ch0_neuron0,	6.6137
_ch0_neuron0,	6.6220
_ch0_neuron0,	6.6304
_ch0_neuron0,	6.6376
_ch0_neuron0,	6.6506
_ch0_neuron0,	6.6593
_ch0_neuron0,	6.6723
_ch0_neuron0,	6.6836
_ch0_neuron0,	6.7196
_ch0_neuron0,	6.7253
_ch0_neuron0,	6.7358
_ch0_neuron0,	6.7463
_ch0_neuron0,	6.7555
_ch0_neuron0,	6.7670
_ch0_neuron0,	6.7767
_ch0_neuron0,	6.7843
_ch0_neuron0,	6.7911
_ch0_neuron0,	6.8041
